paths,labels
processed_data\push-up\video14.pt,14
processed_data\pull Up\video73.pt,13
processed_data\plank\video75.pt,12
processed_data\push-up\video159.pt,14
processed_data\squat\video105.pt,18
processed_data\tricep dips\video76.pt,20
processed_data\squat\video131.pt,18
processed_data\romanian deadlift\video59.pt,15
processed_data\hip thrust\video67.pt,6
processed_data\plank\video169.pt,12
processed_data\romanian deadlift\video45.pt,15
processed_data\bench press\video7.pt,1
processed_data\pull Up\video121.pt,13
processed_data\plank\video260.pt,12
processed_data\hammer curl\video146.pt,5
processed_data\plank\video3.pt,12
processed_data\plank\video79.pt,12
processed_data\bench press\video13.pt,1
processed_data\russian twist\video25.pt,16
processed_data\deadlift\video75.pt,3
processed_data\barbell biceps curl\video14.pt,0
processed_data\hip thrust\video147.pt,6
processed_data\plank\video120.pt,12
processed_data\squat\video203.pt,18
processed_data\leg raises\video105.pt,11
processed_data\leg extension\video131.pt,10
processed_data\tricep dips\video106.pt,20
processed_data\hip thrust\video144.pt,6
processed_data\tricep Pushdown\video114.pt,21
processed_data\t bar row\video167.pt,19
processed_data\romanian deadlift\video174.pt,15
processed_data\plank\video203.pt,12
processed_data\incline bench press\video174.pt,7
processed_data\leg raises\video49.pt,11
processed_data\t bar row\video132.pt,19
processed_data\push-up\video134.pt,14
processed_data\leg raises\video115.pt,11
processed_data\tricep dips\video90.pt,20
processed_data\hammer curl\video113.pt,5
processed_data\tricep dips\video72.pt,20
processed_data\leg extension\video120.pt,10
processed_data\hip thrust\video83.pt,6
processed_data\barbell biceps curl\video24.pt,0
processed_data\incline bench press\video49.pt,7
processed_data\barbell biceps curl\video97.pt,0
processed_data\leg raises\video56.pt,11
processed_data\romanian deadlift\video41.pt,15
processed_data\t bar row\video37.pt,19
processed_data\plank\video108.pt,12
processed_data\incline bench press\video197.pt,7
processed_data\plank\video118.pt,12
processed_data\hip thrust\video162.pt,6
processed_data\tricep Pushdown\video20.pt,21
processed_data\push-up\video200.pt,14
processed_data\russian twist\video34.pt,16
processed_data\push-up\video246.pt,14
processed_data\squat\video68.pt,18
processed_data\deadlift\video70.pt,3
processed_data\russian twist\video155.pt,16
processed_data\push-up\video67.pt,14
processed_data\squat\video100.pt,18
processed_data\squat\video172.pt,18
processed_data\plank\video216.pt,12
processed_data\romanian deadlift\video61.pt,15
processed_data\hammer curl\video103.pt,5
processed_data\lateral raise\video183.pt,9
processed_data\bench press\video133.pt,1
processed_data\leg extension\video16.pt,10
processed_data\tricep Pushdown\video130.pt,21
processed_data\russian twist\video63.pt,16
processed_data\squat\video112.pt,18
processed_data\tricep Pushdown\video116.pt,21
processed_data\incline bench press\video169.pt,7
processed_data\squat\video35.pt,18
processed_data\push-up\video182.pt,14
processed_data\russian twist\video152.pt,16
processed_data\t bar row\video40.pt,19
processed_data\barbell biceps curl\video153.pt,0
processed_data\push-up\video48.pt,14
processed_data\push-up\video183.pt,14
processed_data\leg raises\video157.pt,11
processed_data\squat\video18.pt,18
processed_data\hip thrust\video154.pt,6
processed_data\barbell biceps curl\video0.pt,0
processed_data\incline bench press\video137.pt,7
processed_data\romanian deadlift\video152.pt,15
processed_data\deadlift\video134.pt,3
processed_data\lateral raise\video103.pt,9
processed_data\leg raises\video118.pt,11
processed_data\incline bench press\video102.pt,7
processed_data\deadlift\video24.pt,3
processed_data\leg extension\video86.pt,10
processed_data\hammer curl\video11.pt,5
processed_data\hammer curl\video39.pt,5
processed_data\leg raises\video95.pt,11
processed_data\leg extension\video94.pt,10
processed_data\hammer curl\video34.pt,5
processed_data\push-up\video188.pt,14
processed_data\romanian deadlift\video184.pt,15
processed_data\deadlift\video35.pt,3
processed_data\incline bench press\video26.pt,7
processed_data\hip thrust\video91.pt,6
processed_data\squat\video169.pt,18
processed_data\chest fly machine\video25.pt,2
processed_data\barbell biceps curl\video113.pt,0
processed_data\deadlift\video105.pt,3
processed_data\tricep Pushdown\video80.pt,21
processed_data\leg raises\video84.pt,11
processed_data\push-up\video11.pt,14
processed_data\bench press\video116.pt,1
processed_data\leg extension\video144.pt,10
processed_data\leg extension\video39.pt,10
processed_data\lateral raise\video104.pt,9
processed_data\plank\video136.pt,12
processed_data\plank\video267.pt,12
processed_data\t bar row\video49.pt,19
processed_data\incline bench press\video142.pt,7
processed_data\t bar row\video155.pt,19
processed_data\hip thrust\video2.pt,6
processed_data\squat\video167.pt,18
processed_data\romanian deadlift\video50.pt,15
processed_data\push-up\video163.pt,14
processed_data\tricep Pushdown\video117.pt,21
processed_data\squat\video173.pt,18
processed_data\russian twist\video108.pt,16
processed_data\russian twist\video36.pt,16
processed_data\push-up\video180.pt,14
processed_data\plank\video45.pt,12
processed_data\barbell biceps curl\video38.pt,0
processed_data\bench press\video30.pt,1
processed_data\lateral raise\video148.pt,9
processed_data\plank\video201.pt,12
processed_data\russian twist\video145.pt,16
processed_data\leg raises\video156.pt,11
processed_data\deadlift\video44.pt,3
processed_data\push-up\video154.pt,14
processed_data\pull Up\video2.pt,13
processed_data\hammer curl\video104.pt,5
processed_data\plank\video200.pt,12
processed_data\tricep dips\video68.pt,20
processed_data\push-up\video226.pt,14
processed_data\hammer curl\video38.pt,5
processed_data\plank\video19.pt,12
processed_data\incline bench press\video165.pt,7
processed_data\plank\video261.pt,12
processed_data\t bar row\video32.pt,19
processed_data\plank\video13.pt,12
processed_data\leg extension\video68.pt,10
processed_data\hip thrust\video128.pt,6
processed_data\leg raises\video40.pt,11
processed_data\pull Up\video130.pt,13
processed_data\push-up\video214.pt,14
processed_data\hammer curl\video82.pt,5
processed_data\lateral raise\video12.pt,9
processed_data\push-up\video166.pt,14
processed_data\leg extension\video64.pt,10
processed_data\hammer curl\video150.pt,5
processed_data\hammer curl\video92.pt,5
processed_data\leg raises\video68.pt,11
processed_data\hip thrust\video16.pt,6
processed_data\incline bench press\video35.pt,7
processed_data\incline bench press\video2.pt,7
processed_data\bench press\video23.pt,1
processed_data\lateral raise\video1.pt,9
processed_data\push-up\video65.pt,14
processed_data\tricep dips\video70.pt,20
processed_data\tricep dips\video96.pt,20
processed_data\incline bench press\video100.pt,7
processed_data\deadlift\video149.pt,3
processed_data\chest fly machine\video18.pt,2
processed_data\bench press\video33.pt,1
processed_data\t bar row\video80.pt,19
processed_data\tricep dips\video75.pt,20
processed_data\squat\video0.pt,18
processed_data\leg extension\video108.pt,10
processed_data\bench press\video55.pt,1
processed_data\squat\video122.pt,18
processed_data\squat\video44.pt,18
processed_data\t bar row\video141.pt,19
processed_data\leg extension\video95.pt,10
processed_data\deadlift\video92.pt,3
processed_data\barbell biceps curl\video80.pt,0
processed_data\incline bench press\video24.pt,7
processed_data\plank\video173.pt,12
processed_data\bench press\video20.pt,1
processed_data\russian twist\video38.pt,16
processed_data\squat\video115.pt,18
processed_data\squat\video165.pt,18
processed_data\chest fly machine\video12.pt,2
processed_data\lateral raise\video136.pt,9
processed_data\deadlift\video21.pt,3
processed_data\t bar row\video146.pt,19
processed_data\hip thrust\video93.pt,6
processed_data\barbell biceps curl\video149.pt,0
processed_data\leg raises\video155.pt,11
processed_data\pull Up\video181.pt,13
processed_data\tricep dips\video194.pt,20
processed_data\romanian deadlift\video51.pt,15
processed_data\pull Up\video30.pt,13
processed_data\leg extension\video44.pt,10
processed_data\russian twist\video22.pt,16
processed_data\plank\video38.pt,12
processed_data\tricep dips\video87.pt,20
processed_data\squat\video213.pt,18
processed_data\pull Up\video184.pt,13
processed_data\bench press\video16.pt,1
processed_data\pull Up\video98.pt,13
processed_data\push-up\video0.pt,14
processed_data\plank\video55.pt,12
processed_data\plank\video139.pt,12
processed_data\leg raises\video18.pt,11
processed_data\leg raises\video71.pt,11
processed_data\t bar row\video78.pt,19
processed_data\leg extension\video45.pt,10
processed_data\t bar row\video133.pt,19
processed_data\plank\video86.pt,12
processed_data\plank\video231.pt,12
processed_data\squat\video15.pt,18
processed_data\lateral raise\video168.pt,9
processed_data\hip thrust\video116.pt,6
processed_data\pull Up\video69.pt,13
processed_data\t bar row\video87.pt,19
processed_data\push-up\video241.pt,14
processed_data\romanian deadlift\video182.pt,15
processed_data\russian twist\video120.pt,16
processed_data\hammer curl\video26.pt,5
processed_data\tricep dips\video117.pt,20
processed_data\t bar row\video108.pt,19
processed_data\incline bench press\video94.pt,7
processed_data\hammer curl\video66.pt,5
processed_data\tricep dips\video139.pt,20
processed_data\leg extension\video110.pt,10
processed_data\deadlift\video107.pt,3
processed_data\squat\video136.pt,18
processed_data\plank\video207.pt,12
processed_data\squat\video29.pt,18
processed_data\pull Up\video28.pt,13
processed_data\russian twist\video65.pt,16
processed_data\incline bench press\video193.pt,7
processed_data\barbell biceps curl\video8.pt,0
processed_data\bench press\video47.pt,1
processed_data\barbell biceps curl\video13.pt,0
processed_data\deadlift\video9.pt,3
processed_data\deadlift\video46.pt,3
processed_data\bench press\video5.pt,1
processed_data\squat\video54.pt,18
processed_data\leg extension\video98.pt,10
processed_data\leg raises\video83.pt,11
processed_data\lateral raise\video71.pt,9
processed_data\tricep Pushdown\video67.pt,21
processed_data\bench press\video130.pt,1
processed_data\romanian deadlift\video186.pt,15
processed_data\push-up\video66.pt,14
processed_data\leg raises\video59.pt,11
processed_data\incline bench press\video70.pt,7
processed_data\deadlift\video68.pt,3
processed_data\plank\video151.pt,12
processed_data\t bar row\video62.pt,19
processed_data\pull Up\video139.pt,13
processed_data\incline bench press\video82.pt,7
processed_data\plank\video127.pt,12
processed_data\barbell biceps curl\video74.pt,0
processed_data\squat\video61.pt,18
processed_data\plank\video183.pt,12
processed_data\push-up\video12.pt,14
processed_data\push-up\video118.pt,14
processed_data\plank\video124.pt,12
processed_data\hammer curl\video142.pt,5
processed_data\squat\video40.pt,18
processed_data\squat\video11.pt,18
processed_data\t bar row\video88.pt,19
processed_data\hip thrust\video1.pt,6
processed_data\hammer curl\video109.pt,5
processed_data\push-up\video95.pt,14
processed_data\bench press\video123.pt,1
processed_data\leg raises\video57.pt,11
processed_data\leg raises\video75.pt,11
processed_data\tricep dips\video52.pt,20
processed_data\squat\video91.pt,18
processed_data\hip thrust\video145.pt,6
processed_data\leg extension\video112.pt,10
processed_data\t bar row\video165.pt,19
processed_data\hammer curl\video76.pt,5
processed_data\plank\video89.pt,12
processed_data\push-up\video253.pt,14
processed_data\lateral raise\video115.pt,9
processed_data\t bar row\video16.pt,19
processed_data\incline bench press\video114.pt,7
processed_data\push-up\video51.pt,14
processed_data\leg extension\video72.pt,10
processed_data\pull Up\video189.pt,13
processed_data\plank\video238.pt,12
processed_data\plank\video57.pt,12
processed_data\leg extension\video145.pt,10
processed_data\squat\video144.pt,18
processed_data\deadlift\video36.pt,3
processed_data\push-up\video230.pt,14
processed_data\tricep Pushdown\video48.pt,21
processed_data\romanian deadlift\video161.pt,15
processed_data\push-up\video10.pt,14
processed_data\deadlift\video117.pt,3
processed_data\incline bench press\video64.pt,7
processed_data\russian twist\video55.pt,16
processed_data\plank\video61.pt,12
processed_data\plank\video83.pt,12
processed_data\tricep dips\video74.pt,20
processed_data\russian twist\video73.pt,16
processed_data\plank\video1.pt,12
processed_data\squat\video184.pt,18
processed_data\tricep Pushdown\video50.pt,21
processed_data\incline bench press\video84.pt,7
processed_data\incline bench press\video189.pt,7
processed_data\deadlift\video93.pt,3
processed_data\deadlift\video114.pt,3
processed_data\squat\video182.pt,18
processed_data\lateral raise\video169.pt,9
processed_data\incline bench press\video146.pt,7
processed_data\tricep Pushdown\video54.pt,21
processed_data\leg raises\video51.pt,11
processed_data\barbell biceps curl\video124.pt,0
processed_data\romanian deadlift\video29.pt,15
processed_data\barbell biceps curl\video63.pt,0
processed_data\russian twist\video46.pt,16
processed_data\incline bench press\video107.pt,7
processed_data\hammer curl\video46.pt,5
processed_data\leg extension\video56.pt,10
processed_data\tricep dips\video138.pt,20
processed_data\t bar row\video158.pt,19
processed_data\tricep dips\video149.pt,20
processed_data\incline bench press\video30.pt,7
processed_data\pull Up\video142.pt,13
processed_data\tricep dips\video196.pt,20
processed_data\romanian deadlift\video46.pt,15
processed_data\barbell biceps curl\video86.pt,0
processed_data\leg raises\video52.pt,11
processed_data\plank\video121.pt,12
processed_data\shoulder press\video12.pt,17
processed_data\deadlift\video59.pt,3
processed_data\tricep Pushdown\video22.pt,21
processed_data\leg extension\video92.pt,10
processed_data\lateral raise\video196.pt,9
processed_data\leg raises\video63.pt,11
processed_data\lateral raise\video122.pt,9
processed_data\russian twist\video99.pt,16
processed_data\leg raises\video70.pt,11
processed_data\bench press\video71.pt,1
processed_data\deadlift\video6.pt,3
processed_data\squat\video138.pt,18
processed_data\lateral raise\video19.pt,9
processed_data\russian twist\video95.pt,16
processed_data\barbell biceps curl\video118.pt,0
processed_data\t bar row\video95.pt,19
processed_data\incline bench press\video186.pt,7
processed_data\hammer curl\video101.pt,5
processed_data\push-up\video37.pt,14
processed_data\hammer curl\video33.pt,5
processed_data\tricep dips\video203.pt,20
processed_data\lateral raise\video138.pt,9
processed_data\romanian deadlift\video93.pt,15
processed_data\lateral raise\video38.pt,9
processed_data\leg raises\video85.pt,11
processed_data\pull Up\video38.pt,13
processed_data\t bar row\video145.pt,19
processed_data\leg extension\video47.pt,10
processed_data\lateral raise\video73.pt,9
processed_data\tricep Pushdown\video56.pt,21
processed_data\romanian deadlift\video60.pt,15
processed_data\tricep dips\video100.pt,20
processed_data\lateral raise\video105.pt,9
processed_data\lateral raise\video28.pt,9
processed_data\hip thrust\video158.pt,6
processed_data\plank\video244.pt,12
processed_data\russian twist\video102.pt,16
processed_data\push-up\video140.pt,14
processed_data\incline bench press\video29.pt,7
processed_data\bench press\video96.pt,1
processed_data\bench press\video103.pt,1
processed_data\squat\video55.pt,18
processed_data\barbell biceps curl\video142.pt,0
processed_data\leg raises\video10.pt,11
processed_data\plank\video25.pt,12
processed_data\incline bench press\video9.pt,7
processed_data\romanian deadlift\video122.pt,15
processed_data\plank\video34.pt,12
processed_data\bench press\video82.pt,1
processed_data\hammer curl\video30.pt,5
processed_data\romanian deadlift\video43.pt,15
processed_data\hammer curl\video149.pt,5
processed_data\plank\video179.pt,12
processed_data\barbell biceps curl\video115.pt,0
processed_data\barbell biceps curl\video78.pt,0
processed_data\incline bench press\video31.pt,7
processed_data\t bar row\video172.pt,19
processed_data\squat\video43.pt,18
processed_data\leg raises\video42.pt,11
processed_data\barbell biceps curl\video146.pt,0
processed_data\barbell biceps curl\video37.pt,0
processed_data\t bar row\video48.pt,19
processed_data\hip thrust\video101.pt,6
processed_data\t bar row\video101.pt,19
processed_data\tricep dips\video188.pt,20
processed_data\romanian deadlift\video27.pt,15
processed_data\leg extension\video107.pt,10
processed_data\squat\video111.pt,18
processed_data\lateral raise\video109.pt,9
processed_data\tricep Pushdown\video53.pt,21
processed_data\lateral raise\video97.pt,9
processed_data\russian twist\video1.pt,16
processed_data\barbell biceps curl\video129.pt,0
processed_data\tricep Pushdown\video25.pt,21
processed_data\squat\video23.pt,18
processed_data\bench press\video85.pt,1
processed_data\hip thrust\video77.pt,6
processed_data\romanian deadlift\video38.pt,15
processed_data\plank\video66.pt,12
processed_data\incline bench press\video158.pt,7
processed_data\hip thrust\video41.pt,6
processed_data\push-up\video20.pt,14
processed_data\t bar row\video45.pt,19
processed_data\t bar row\video121.pt,19
processed_data\romanian deadlift\video39.pt,15
processed_data\leg raises\video82.pt,11
processed_data\russian twist\video58.pt,16
processed_data\hip thrust\video38.pt,6
processed_data\deadlift\video8.pt,3
processed_data\leg extension\video114.pt,10
processed_data\leg raises\video77.pt,11
processed_data\push-up\video160.pt,14
processed_data\plank\video150.pt,12
processed_data\incline bench press\video122.pt,7
processed_data\plank\video174.pt,12
processed_data\leg raises\video126.pt,11
processed_data\deadlift\video126.pt,3
processed_data\deadlift\video22.pt,3
processed_data\plank\video40.pt,12
processed_data\lateral raise\video186.pt,9
processed_data\hip thrust\video88.pt,6
processed_data\tricep Pushdown\video113.pt,21
processed_data\squat\video57.pt,18
processed_data\push-up\video133.pt,14
processed_data\push-up\video240.pt,14
processed_data\bench press\video89.pt,1
processed_data\lateral raise\video134.pt,9
processed_data\pull Up\video125.pt,13
processed_data\tricep dips\video6.pt,20
processed_data\bench press\video27.pt,1
processed_data\squat\video199.pt,18
processed_data\t bar row\video110.pt,19
processed_data\plank\video221.pt,12
processed_data\t bar row\video114.pt,19
processed_data\lateral raise\video6.pt,9
processed_data\russian twist\video10.pt,16
processed_data\lateral raise\video61.pt,9
processed_data\pull Up\video124.pt,13
processed_data\pull Up\video79.pt,13
processed_data\hammer curl\video107.pt,5
processed_data\hip thrust\video107.pt,6
processed_data\plank\video214.pt,12
processed_data\pull Up\video50.pt,13
processed_data\lateral raise\video35.pt,9
processed_data\lateral raise\video21.pt,9
processed_data\push-up\video156.pt,14
processed_data\romanian deadlift\video111.pt,15
processed_data\leg extension\video67.pt,10
processed_data\tricep dips\video113.pt,20
processed_data\leg raises\video65.pt,11
processed_data\lateral raise\video142.pt,9
processed_data\squat\video153.pt,18
processed_data\lateral raise\video48.pt,9
processed_data\incline bench press\video59.pt,7
processed_data\t bar row\video124.pt,19
processed_data\barbell biceps curl\video111.pt,0
processed_data\leg raises\video122.pt,11
processed_data\barbell biceps curl\video64.pt,0
processed_data\tricep dips\video187.pt,20
processed_data\tricep Pushdown\video21.pt,21
processed_data\hip thrust\video157.pt,6
processed_data\tricep dips\video103.pt,20
processed_data\push-up\video224.pt,14
processed_data\tricep Pushdown\video9.pt,21
processed_data\plank\video227.pt,12
processed_data\push-up\video187.pt,14
processed_data\leg extension\video73.pt,10
processed_data\squat\video88.pt,18
processed_data\russian twist\video14.pt,16
processed_data\shoulder press\video9.pt,17
processed_data\squat\video10.pt,18
processed_data\hip thrust\video63.pt,6
processed_data\hammer curl\video31.pt,5
processed_data\tricep dips\video161.pt,20
processed_data\russian twist\video31.pt,16
processed_data\tricep dips\video154.pt,20
processed_data\hammer curl\video94.pt,5
processed_data\plank\video9.pt,12
processed_data\pull Up\video131.pt,13
processed_data\lateral raise\video40.pt,9
processed_data\leg extension\video0.pt,10
processed_data\push-up\video110.pt,14
processed_data\romanian deadlift\video0.pt,15
processed_data\plank\video31.pt,12
processed_data\squat\video69.pt,18
processed_data\leg extension\video79.pt,10
processed_data\lateral raise\video79.pt,9
processed_data\plank\video102.pt,12
processed_data\t bar row\video135.pt,19
processed_data\push-up\video220.pt,14
processed_data\tricep dips\video191.pt,20
processed_data\push-up\video219.pt,14
processed_data\romanian deadlift\video125.pt,15
processed_data\incline bench press\video17.pt,7
processed_data\tricep Pushdown\video75.pt,21
processed_data\tricep Pushdown\video40.pt,21
processed_data\bench press\video120.pt,1
processed_data\deadlift\video128.pt,3
processed_data\leg extension\video125.pt,10
processed_data\push-up\video167.pt,14
processed_data\leg raises\video72.pt,11
processed_data\incline bench press\video47.pt,7
processed_data\lateral raise\video45.pt,9
processed_data\russian twist\video30.pt,16
processed_data\t bar row\video102.pt,19
processed_data\tricep dips\video129.pt,20
processed_data\tricep Pushdown\video42.pt,21
processed_data\squat\video59.pt,18
processed_data\lateral raise\video177.pt,9
processed_data\bench press\video52.pt,1
processed_data\push-up\video225.pt,14
processed_data\lateral raise\video2.pt,9
processed_data\plank\video268.pt,12
processed_data\barbell biceps curl\video138.pt,0
processed_data\tricep dips\video145.pt,20
processed_data\push-up\video111.pt,14
processed_data\tricep Pushdown\video27.pt,21
processed_data\tricep Pushdown\video15.pt,21
processed_data\hip thrust\video58.pt,6
processed_data\romanian deadlift\video5.pt,15
processed_data\bench press\video48.pt,1
processed_data\leg raises\video88.pt,11
processed_data\squat\video27.pt,18
processed_data\plank\video58.pt,12
processed_data\hammer curl\video6.pt,5
processed_data\russian twist\video117.pt,16
processed_data\bench press\video77.pt,1
processed_data\leg extension\video141.pt,10
processed_data\barbell biceps curl\video161.pt,0
processed_data\lateral raise\video176.pt,9
processed_data\squat\video50.pt,18
processed_data\romanian deadlift\video103.pt,15
processed_data\hip thrust\video168.pt,6
processed_data\plank\video7.pt,12
processed_data\hammer curl\video15.pt,5
processed_data\romanian deadlift\video133.pt,15
processed_data\romanian deadlift\video44.pt,15
processed_data\pull Up\video48.pt,13
processed_data\romanian deadlift\video138.pt,15
processed_data\hammer curl\video28.pt,5
processed_data\tricep dips\video141.pt,20
processed_data\push-up\video15.pt,14
processed_data\incline bench press\video54.pt,7
processed_data\chest fly machine\video19.pt,2
processed_data\deadlift\video16.pt,3
processed_data\lateral raise\video114.pt,9
processed_data\tricep dips\video197.pt,20
processed_data\hammer curl\video12.pt,5
processed_data\hip thrust\video173.pt,6
processed_data\hammer curl\video147.pt,5
processed_data\leg raises\video142.pt,11
processed_data\incline bench press\video113.pt,7
processed_data\lateral raise\video179.pt,9
processed_data\push-up\video146.pt,14
processed_data\plank\video22.pt,12
processed_data\barbell biceps curl\video40.pt,0
processed_data\incline bench press\video45.pt,7
processed_data\t bar row\video111.pt,19
processed_data\leg raises\video41.pt,11
processed_data\push-up\video141.pt,14
processed_data\plank\video157.pt,12
processed_data\plank\video88.pt,12
processed_data\romanian deadlift\video154.pt,15
processed_data\tricep Pushdown\video39.pt,21
processed_data\t bar row\video185.pt,19
processed_data\push-up\video208.pt,14
processed_data\deadlift\video91.pt,3
processed_data\barbell biceps curl\video122.pt,0
processed_data\plank\video28.pt,12
processed_data\romanian deadlift\video129.pt,15
processed_data\push-up\video178.pt,14
processed_data\leg raises\video144.pt,11
processed_data\lateral raise\video98.pt,9
processed_data\hip thrust\video5.pt,6
processed_data\squat\video208.pt,18
processed_data\lateral raise\video26.pt,9
processed_data\leg extension\video8.pt,10
processed_data\tricep dips\video110.pt,20
processed_data\hip thrust\video64.pt,6
processed_data\incline bench press\video172.pt,7
processed_data\hammer curl\video49.pt,5
processed_data\bench press\video42.pt,1
processed_data\bench press\video25.pt,1
processed_data\deadlift\video69.pt,3
processed_data\lateral raise\video9.pt,9
processed_data\lateral raise\video173.pt,9
processed_data\deadlift\video78.pt,3
processed_data\push-up\video6.pt,14
processed_data\lateral raise\video53.pt,9
processed_data\tricep dips\video157.pt,20
processed_data\tricep Pushdown\video59.pt,21
processed_data\russian twist\video109.pt,16
processed_data\lateral raise\video75.pt,9
processed_data\bench press\video61.pt,1
processed_data\pull Up\video183.pt,13
processed_data\squat\video26.pt,18
processed_data\push-up\video119.pt,14
processed_data\push-up\video8.pt,14
processed_data\plank\video172.pt,12
processed_data\incline bench press\video43.pt,7
processed_data\squat\video118.pt,18
processed_data\pull Up\video13.pt,13
processed_data\pull Up\video4.pt,13
processed_data\barbell biceps curl\video77.pt,0
processed_data\t bar row\video44.pt,19
processed_data\incline bench press\video99.pt,7
processed_data\romanian deadlift\video20.pt,15
processed_data\russian twist\video59.pt,16
processed_data\incline bench press\video175.pt,7
processed_data\plank\video194.pt,12
processed_data\deadlift\video87.pt,3
processed_data\hammer curl\video68.pt,5
processed_data\leg raises\video69.pt,11
processed_data\hammer curl\video129.pt,5
processed_data\hip thrust\video33.pt,6
processed_data\squat\video36.pt,18
processed_data\romanian deadlift\video108.pt,15
processed_data\hammer curl\video71.pt,5
processed_data\tricep Pushdown\video93.pt,21
processed_data\hip thrust\video134.pt,6
processed_data\tricep Pushdown\video10.pt,21
processed_data\incline bench press\video171.pt,7
processed_data\deadlift\video15.pt,3
processed_data\lateral raise\video194.pt,9
processed_data\push-up\video81.pt,14
processed_data\leg extension\video26.pt,10
processed_data\tricep Pushdown\video5.pt,21
processed_data\t bar row\video139.pt,19
processed_data\hip thrust\video103.pt,6
processed_data\push-up\video162.pt,14
processed_data\tricep dips\video131.pt,20
processed_data\push-up\video197.pt,14
processed_data\squat\video104.pt,18
processed_data\pull Up\video126.pt,13
processed_data\tricep dips\video192.pt,20
processed_data\incline bench press\video21.pt,7
processed_data\lateral raise\video140.pt,9
processed_data\pull Up\video136.pt,13
processed_data\t bar row\video61.pt,19
processed_data\incline bench press\video167.pt,7
processed_data\hammer curl\video126.pt,5
processed_data\pull Up\video135.pt,13
processed_data\bench press\video79.pt,1
processed_data\romanian deadlift\video110.pt,15
processed_data\plank\video47.pt,12
processed_data\leg raises\video146.pt,11
processed_data\hip thrust\video22.pt,6
processed_data\hip thrust\video57.pt,6
processed_data\barbell biceps curl\video36.pt,0
processed_data\plank\video78.pt,12
processed_data\tricep Pushdown\video0.pt,21
processed_data\t bar row\video166.pt,19
processed_data\pull Up\video53.pt,13
processed_data\push-up\video107.pt,14
processed_data\squat\video211.pt,18
processed_data\push-up\video205.pt,14
processed_data\chest fly machine\video13.pt,2
processed_data\leg raises\video106.pt,11
processed_data\leg raises\video66.pt,11
processed_data\leg extension\video119.pt,10
processed_data\incline bench press\video83.pt,7
processed_data\deadlift\video20.pt,3
processed_data\russian twist\video32.pt,16
processed_data\incline bench press\video76.pt,7
processed_data\deadlift\video11.pt,3
processed_data\lateral raise\video57.pt,9
processed_data\tricep Pushdown\video34.pt,21
processed_data\plank\video48.pt,12
processed_data\leg extension\video29.pt,10
processed_data\lateral raise\video36.pt,9
processed_data\plank\video95.pt,12
processed_data\pull Up\video86.pt,13
processed_data\barbell biceps curl\video68.pt,0
processed_data\squat\video174.pt,18
processed_data\tricep dips\video107.pt,20
processed_data\lateral raise\video68.pt,9
processed_data\push-up\video94.pt,14
processed_data\hip thrust\video149.pt,6
processed_data\lateral raise\video151.pt,9
processed_data\tricep Pushdown\video103.pt,21
processed_data\squat\video197.pt,18
processed_data\pull Up\video164.pt,13
processed_data\barbell biceps curl\video70.pt,0
processed_data\deadlift\video101.pt,3
processed_data\hip thrust\video127.pt,6
processed_data\squat\video4.pt,18
processed_data\hip thrust\video71.pt,6
processed_data\deadlift\video23.pt,3
processed_data\tricep Pushdown\video13.pt,21
processed_data\deadlift\video144.pt,3
processed_data\lateral raise\video10.pt,9
processed_data\tricep dips\video120.pt,20
processed_data\tricep Pushdown\video43.pt,21
processed_data\squat\video193.pt,18
processed_data\push-up\video245.pt,14
processed_data\squat\video28.pt,18
processed_data\incline bench press\video18.pt,7
processed_data\squat\video52.pt,18
processed_data\deadlift\video28.pt,3
processed_data\bench press\video44.pt,1
processed_data\incline bench press\video184.pt,7
processed_data\tricep Pushdown\video91.pt,21
processed_data\romanian deadlift\video165.pt,15
processed_data\hip thrust\video53.pt,6
processed_data\bench press\video115.pt,1
processed_data\russian twist\video42.pt,16
processed_data\squat\video103.pt,18
processed_data\hammer curl\video56.pt,5
processed_data\incline bench press\video81.pt,7
processed_data\plank\video135.pt,12
processed_data\tricep dips\video183.pt,20
processed_data\tricep dips\video25.pt,20
processed_data\tricep dips\video27.pt,20
processed_data\tricep Pushdown\video60.pt,21
processed_data\lateral raise\video165.pt,9
processed_data\hammer curl\video27.pt,5
processed_data\lateral raise\video80.pt,9
processed_data\t bar row\video71.pt,19
processed_data\russian twist\video20.pt,16
processed_data\plank\video43.pt,12
processed_data\incline bench press\video60.pt,7
processed_data\leg raises\video2.pt,11
processed_data\russian twist\video124.pt,16
processed_data\romanian deadlift\video145.pt,15
processed_data\plank\video167.pt,12
processed_data\shoulder press\video7.pt,17
processed_data\push-up\video7.pt,14
processed_data\deadlift\video27.pt,3
processed_data\hammer curl\video97.pt,5
processed_data\squat\video179.pt,18
processed_data\tricep dips\video8.pt,20
processed_data\t bar row\video55.pt,19
processed_data\t bar row\video31.pt,19
processed_data\romanian deadlift\video178.pt,15
processed_data\leg raises\video25.pt,11
processed_data\tricep Pushdown\video107.pt,21
processed_data\incline bench press\video57.pt,7
processed_data\pull Up\video145.pt,13
processed_data\t bar row\video169.pt,19
processed_data\push-up\video148.pt,14
processed_data\plank\video82.pt,12
processed_data\chest fly machine\video23.pt,2
processed_data\t bar row\video184.pt,19
processed_data\hip thrust\video105.pt,6
processed_data\squat\video189.pt,18
processed_data\romanian deadlift\video149.pt,15
